"","GEOCODE","CDUID.x","GEOLABEL","allHouses","lt1PPerRoom","gt1PPerRoom","pcGt1PPerRoom","CDUID.y","allHouseholds","ownerOccupied","notOO","pcNotOO"
"89","E07000049",1211095,"East Dorset",37564,37314,250,0.67,1211095,37564,30371,7193,19.15
"90","E07000050",1211096,"North Dorset",28670,28406,264,0.92,1211096,28670,20002,8668,30.23
"91","E07000051",1211097,"Purbeck",19583,19401,182,0.93,1211097,19583,13613,5970,30.49
"92","E07000052",1211098,"West Dorset",44386,44043,343,0.77,1211098,44386,30823,13563,30.56
"93","E07000053",1211099,"Weymouth and Portland",28535,28200,335,1.17,1211099,28535,19061,9474,33.2
"94","E07000061",1211100,"Eastbourne",45012,44318,694,1.54,1211100,45012,27788,17224,38.27
"95","E07000062",1211101,"Hastings",41159,40496,663,1.61,1211101,41159,22706,18453,44.83
"96","E07000063",1211102,"Lewes",42181,41775,406,0.96,1211102,42181,30648,11533,27.34
"97","E07000064",1211103,"Rother",40877,40460,417,1.02,1211103,40877,30060,10817,26.46
"98","E07000065",1211104,"Wealden",62676,62166,510,0.81,1211104,62676,49355,13321,21.25
"99","E07000066",1211105,"Basildon",72746,71607,1139,1.57,1211105,72746,47972,24774,34.06
"100","E07000067",1211106,"Braintree",61043,60458,585,0.96,1211106,61043,41872,19171,31.41
"101","E07000068",1211107,"Brentwood",30646,30338,308,1.01,1211107,30646,23028,7618,24.86
"102","E07000069",1211108,"Castle Point",36440,36142,298,0.82,1211108,36440,30101,6339,17.4
"103","E07000070",1211109,"Chelmsford",69667,68946,721,1.03,1211109,69667,50978,18689,26.83
"104","E07000071",1211110,"Colchester",71634,70809,825,1.15,1211110,71634,47507,24127,33.68
"105","E07000072",1211111,"Epping Forest",51991,51371,620,1.19,1211111,51991,37565,14426,27.75
"106","E07000073",1211112,"Harlow",34620,33822,798,2.31,1211112,34620,19429,15191,43.88
"107","E07000074",1211113,"Maldon",25817,25632,185,0.72,1211113,25817,20251,5566,21.56
"108","E07000075",1211114,"Rochford",33564,33284,280,0.83,1211114,33564,27822,5742,17.11
"109","E07000076",1211115,"Tendring",62105,61496,609,0.98,1211115,62105,45752,16353,26.33
"110","E07000077",1211116,"Uttlesford",31316,31059,257,0.82,1211116,31316,22425,8891,28.39
"111","E07000078",1211117,"Cheltenham",50929,50334,595,1.17,1211117,50929,32879,18050,35.44
"112","E07000079",1211118,"Cotswold",36236,35986,250,0.69,1211118,36236,23803,12433,34.31
"113","E07000080",1211119,"Forest of Dean",34167,33879,288,0.84,1211119,34167,25371,8796,25.74
"114","E07000081",1211120,"Gloucester",50363,49571,792,1.57,1211120,50363,33858,16505,32.77
"115","E07000082",1211121,"Stroud",47794,47430,364,0.76,1211121,47794,34988,12806,26.79
"116","E07000083",1211122,"Tewkesbury",35126,34859,267,0.76,1211122,35126,25844,9282,26.42
"117","E07000084",1211123,"Basingstoke and Deane",69315,68515,800,1.15,1211123,69315,46936,22379,32.29
"118","E07000085",1211124,"East Hampshire",47258,46790,468,0.99,1211124,47258,34919,12339,26.11
"119","E07000086",1211125,"Eastleigh",52177,51677,500,0.96,1211125,52177,38362,13815,26.48
"120","E07000087",1211126,"Fareham",46579,46222,357,0.77,1211126,46579,37460,9119,19.58
"121","E07000088",1211127,"Gosport",35430,35002,428,1.21,1211127,35430,23115,12315,34.76
"122","E07000089",1211128,"Hart",35510,35229,281,0.79,1211128,35510,27747,7763,21.86
"123","E07000090",1211129,"Havant",51311,50563,748,1.46,1211129,51311,35387,15924,31.03
"124","E07000091",1211130,"New Forest",76839,76208,631,0.82,1211130,76839,57603,19236,25.03
"125","E07000092",1211131,"Rushmoor",36344,35350,994,2.73,1211131,36344,23089,13255,36.47
"126","E07000093",1211132,"Test Valley",47626,47232,394,0.83,1211132,47626,33501,14125,29.66
"127","E07000094",1211133,"Winchester",46865,46421,444,0.95,1211133,46865,31646,15219,32.47
"128","E07000095",1211134,"Broxbourne",37658,36888,770,2.04,1211134,37658,27460,10198,27.08
"129","E07000096",1211135,"Dacorum",59938,59244,694,1.16,1211135,59938,38877,21061,35.14
"130","E07000097",1211136,"East Hertfordshire",56577,56068,509,0.9,1211136,56577,40665,15912,28.12
